country,product,target_date,snapshot_taken_on,horizon_weeks,model_used,price_with_tax_forecast,price_wo_tax_forecast,price_with_tax_lower80,price_with_tax_upper80
NL,euro95,2026-09-21,2026-08-03,7,sarimax,2201.977021805288,971.5635507309084,2104.376881250542,2299.577162360035
NL,euro95,2026-09-28,2026-08-03,8,sarimax,2201.9766028382974,971.5631317639176,2099.659245091037,2304.293960585558
NL,euro95,2026-10-05,2026-08-05,9,sarimax,2403.37934689963,1141.4433138417787,2309.198559458725,2497.5601343405347
NL,euro95,2026-10-12,2026-08-05,10,sarimax,2403.3864525622635,1141.4504195044124,2304.1560821767325,2502.6168229477944
NL,euro95,2026-10-19,2026-08-05,11,sarimax,2403.3899128558223,1141.4538797979712,2299.3538282754453,2507.4259974361994
NL,fuel_oil_1,2023-03-06,2026-08-03,-178,sarimax,743.4124843901081,743.4124843901081,721.0974984739167,765.7274703062996
NL,fuel_oil_1,2023-03-13,2026-08-03,-177,sarimax,743.4124843901081,743.4124843901081,711.9956291725797,774.8293396076366
NL,fuel_oil_1,2023-03-20,2026-08-03,-176,sarimax,743.4124843901081,743.4124843901081,704.9927110034981,781.8322577767182
NL,fuel_oil_1,2023-03-27,2026-08-03,-175,sarimax,743.4124843901081,743.4124843901081,699.082593995502,787.7423747847143
NL,fuel_oil_1,2023-04-03,2026-08-03,-174,sarimax,741.350863667447,741.350863667447,691.8109870253204,790.8907403095736
NL,fuel_oil_1,2023-04-10,2026-08-03,-173,sarimax,741.350863667447,741.350863667447,687.0990473565028,795.6026799783913
NL,fuel_oil_1,2023-04-17,2026-08-03,-172,sarimax,741.350863667447,741.350863667447,682.7648604895909,799.9368668453031
NL,fuel_oil_1,2023-04-24,2026-08-03,-171,sarimax,741.350863667447,741.350863667447,678.7299409365012,803.9717863983929
NL,fuel_oil_1,2023-05-01,2026-08-03,-170,sarimax,739.3675474360522,739.3675474360522,672.956402595789,805.7786922763154
NL,fuel_oil_1,2023-05-08,2026-08-03,-169,sarimax,739.3675474360522,739.3675474360522,669.3711164247945,809.3639784473098
NL,fuel_oil_1,2023-05-15,2026-08-03,-168,sarimax,739.3675474360522,739.3675474360522,665.9607320192731,812.7743628528312
NL,fuel_oil_1,2023-05-22,2026-08-03,-167,sarimax,739.3675474360522,739.3675474360522,662.7019049033479,816.0331899687565
NL,heating_oil,2023-03-06,2026-08-03,-178,sarimax,1900.280421802916,1900.280421802916,1856.6697314838248,1943.891112122006
NL,heating_oil,2023-03-13,2026-08-03,-177,sarimax,1899.3591256681948,1899.3591256681948,1839.7177068033943,1959.000544532995
